,pred
0,159965.76099210655
1,133224.63882768466
2,201320.64426418365
3,175702.60484828724
4,151133.66560815673
5,370438.26994941256
6,123268.86870788944
7,185086.6621400972
8,177497.1117443771
9,295487.9445564242
10,169749.2622084301
11,276115.3037898404
12,365216.2669888988
13,142810.91138992654
14,146637.47934041184
15,236542.48510881225
16,175248.0510007889
17,174943.68936388555
18,304934.8538630509
19,306127.5604327272
20,168336.46972584378
21,216593.94976824487
22,196011.80105784547
23,300930.8603089527
24,196591.5896571388
25,191551.3070681802
26,302530.66737380513
27,183676.49212232672
28,137419.22505686647
29,278220.12225567515
30,159769.8745620835
31,192034.43945642596
32,338164.3482489897
33,405880.21820677654
34,158903.36729786865
35,224931.49211636212
36,163572.69833268083
37,294012.9786944012
38,161309.93067986882
39,188657.03555615127
40,180696.01549917783
41,273948.0664218715
42,225534.89337130674
43,204643.34426120963
44,182361.45882092923
45,162515.67444034165
46,194918.83478460382
47,180800.01097650628
48,190217.17915967427
49,341097.1337045556
50,178420.95843693
51,166982.76674825055
52,245793.86720104946
53,181807.8637518034
54,138405.34369072694
55,180368.98582886998
56,185894.95004990036
57,199579.3643949163
58,123375.86835507322
59,184112.74309261903
60,92231.28891450471
61,234961.360387063
62,319275.3593596704
63,261144.14826784807
64,253679.49291132425
65,362668.7271633438
66,164357.10893324713
67,293994.39474172716
68,166050.0147755296
69,156755.52557967213
70,168183.84008379618
71,171542.49616971955
72,408540.8338096179
73,378109.7809033011
74,207054.11204783476
75,256712.8662763796
76,452104.06139191054
77,117862.51819691293
78,153580.21856959033
79,222760.8367708517
80,199310.17401709832
81,169474.16834126052
82,215889.80634305257
83,407139.4967645891
84,270761.75112470146
85,329080.3064510898
86,239248.64467375903
87,440100.53153730347
88,204466.61942877778
89,198847.2500953018
90,161930.18105486425
91,261211.81780784216
92,276110.0565348848
93,173223.4441517815
94,174150.67209512804
95,210844.73898366824
96,360312.5031001019
97,159249.4296091947
98,167649.83078439633
99,167239.17457621396
100,186751.00027430136
101,140175.649172933
102,307438.3190876734
103,336093.9563423962
104,302500.4957498751
105,341888.3781283015
106,260820.8891535626
107,155751.35658580053
108,210885.21981484749
109,187009.34119218893
110,179779.8029106023
111,198324.02334430456
112,255364.7942996582
113,339855.01069676975
114,224664.91699033388
115,176338.04444019758
116,228222.73402961437
117,176214.52411454066
118,240082.35665625316
119,161302.21039255205
120,142159.23039665996
121,126977.79977141168
122,137656.8775089146
123,176598.83385043326
124,180151.05341595117
125,322507.5837320351
126,402074.87882913946
127,214308.96246734133
128,210313.8937312825
129,196583.9081281196
130,196692.9684287513
131,193632.72105966977
132,137241.24904939006
133,208358.8150155881
134,251103.01822745186
135,268386.16002434527
136,210164.85284437667
137,341246.07343861833
138,177293.28648404183
139,188932.13129280752
140,171339.90964529765
141,319638.1923667286
142,250558.13166607427
143,179113.9308180705
144,234646.18822132226
145,175943.66746156212
146,238652.54640770293
147,193198.3810981834
148,170121.72899266396
149,176839.14660096794
150,158348.10041449516
151,179118.8589106249
152,251317.37688517076
153,191085.9046055098
154,198167.55800096196
155,190697.55733309925
156,150275.8885286616
157,173074.836642146
158,179608.52394310443
159,173573.497627657
160,273718.5905198857
161,174057.97941401412
162,290583.2455596962
163,137292.79306274798
164,187865.5423967291
165,138493.45826968524
166,225782.51511188239
167,204402.3962855056
168,327936.9053035675
169,203206.66399877367
170,194061.54117101312
171,161211.59639283488
172,214497.09592880507
173,190150.11538025306
174,240789.7338972475
175,307948.72176452936
176,157368.21375687528
177,188083.6577930147
178,227232.96051733286
179,157472.0196313742
180,246147.18374774724
181,167269.5765551112
182,209173.5199681192
183,307143.05066985363
184,74052.81231390494
185,235400.0248772845
186,187618.8114869019
187,223439.0833031035
188,338358.4574755773
189,130802.75437332543
190,236341.6616886349
191,151151.11672497622
192,249645.25635602494
193,159995.98986184841
194,239976.66059531414
195,188150.27396285132
196,210312.39435556403
197,267566.2094060989
198,303271.62784787855
199,199717.01518651462
200,130465.14219697654
201,97624.90466410435
202,212156.24693360648
203,129212.51992789032
204,70352.68190781093
205,180520.9887817482
206,135652.5463077032
207,289897.48388384
208,237190.1229790377
209,262175.4791811925
210,116949.45428989135
211,253977.42295891576
212,130181.99860423621
213,185300.27328078754
214,258584.1718414302
215,119536.76584801283
216,263220.8077696819
217,279921.9913904902
218,170675.2766897403
219,316789.30991515244
220,183017.86760655936
221,258096.0226582985
222,124758.51993286943
223,235075.15124545724
224,159889.89907679032
225,269612.0300489025
226,155075.50977871582
227,213531.53320935223
228,215164.33233813272
229,228952.13224248256
230,172082.21950589155
231,157862.8590012606
232,150550.45838697758
233,173957.7713799913
234,192172.13486950035
235,183316.90414696655
236,131994.38401831745
237,138734.14902255626
238,147754.4170289202
239,225172.64742406635
240,181795.962136815
241,250299.37980145673
242,289647.2675781825
243,138715.97745515208
244,115047.87330497528
245,312766.24974100984
246,114473.90880331867
247,312804.01730013767
248,167068.64231530746
249,167508.97771059236
250,192882.6490139547
251,185529.65701751667
252,205161.02822038752
253,240311.33307205618
254,190192.38180206905
255,202081.9431920911
256,143331.37559578178
257,260911.42226954745
258,190102.9402172736
259,161020.46349071636
260,274959.0314941923
261,308046.64244515734
262,174467.40152375292
263,450823.4983885886
264,196167.48244196764
265,190889.16571141698
266,157198.83940875356
267,190129.44873729945
268,137948.22128269856
269,201500.73836025997
270,214844.80010460413
271,176767.85906778584
272,203161.270497635
273,216155.55772304253
274,140597.56001777633
275,131485.31610676186
276,195087.90070344644
277,231716.89688638647
278,280700.21641584137
279,377005.25072484923
